"function";"bitsAmount";"oldMethod";"ourMethod"
"or";81;0,00022998452186584473;0,000634998083114624
"and";81;0,008105015754699707;0,0006249964237213135
"getBestSegments";81;0,010820013284683228;0,001239997148513794
"or";82;0,00025501251220703123;0,0007099926471710206
"and";82;0,0002099752426147461;0,0006349861621856689
"getBestSegments";82;0,011199969053268432;0,0014600276947021485
"or";83;0,00028002262115478516;0,000689995288848877
"and";83;0,0002399742603302002;0,0007899999618530273
"getBestSegments";83;0,011229979991912841;0,00135498046875
"or";84;0,0002500057220458984;0,0007000088691711426
"and";84;0,00022999048233032226;0,0006199955940246582
"getBestSegments";84;0,011515027284622193;0,0013649642467498779
"or";85;0,00026000142097473147;0,0007200121879577636
"and";85;0,00022000670433044433;0,0006700038909912109
"getBestSegments";85;0,003344982862472534;0,0012500286102294922
"or";86;0,00024001002311706542;0,0006949961185455322
"and";86;0,00022498369216918945;0,0006550133228302002
"getBestSegments";86;0,0033250391483306886;0,0012299597263336181
"or";87;0,0002649843692779541;0,0007000207901000976
"and";87;0,00023000240325927735;0,0007199883460998535
"getBestSegments";87;0,004444992542266846;0,0014450371265411377
"or";88;0,000250011682510376;0,0007300019264221191
"and";88;0,0002349853515625;0,0006900012493133544
"getBestSegments";88;0,003410005569458008;0,001254981756210327
"or";89;0,00023497939109802247;0,0007099926471710206
"and";89;0,0002350032329559326;0,0007099926471710206
"getBestSegments";89;0,0037249982357025146;0,0013900160789489745
"or";90;0,00025500059127807616;0,0007400035858154297
"and";90;0,00022999048233032226;0,0007149994373321534
"getBestSegments";90;0,0036349713802337645;0,001410013437271118
"or";91;0,0002300083637237549;0,0007599949836730957
"and";91;0,0002499997615814209;0,0006749987602233887
"getBestSegments";91;0,003190016746520996;0,0012150108814239502
"or";92;0,00026999711990356446;0,0007850110530853271
"and";92;0,0002499997615814209;0,0007349908351898194
"getBestSegments";92;0,009779983758926391;0,001279991865158081
"or";93;0,0002550363540649414;0,000709998607635498
"and";93;0,00022998452186584473;0,000745004415512085
"getBestSegments";93;0,003825002908706665;0,0014100015163421632
"or";94;0,000260007381439209;0,000774991512298584
"and";94;0,00023001432418823242;0,0007249951362609863
"getBestSegments";94;0,003524988889694214;0,0012900292873382567
"or";95;0,00034502148628234863;0,0007500052452087402
"and";95;0,0002499818801879883;0,0007400035858154297
"getBestSegments";95;0,0036100029945373537;0,0013450145721435546
"or";96;0,0002850234508514404;0,0007899880409240722
"and";96;0,00026001334190368653;0,000755012035369873
"getBestSegments";96;0,003764998912811279;0,0013699769973754884
"or";97;0,0002749919891357422;0,0007650017738342285
"and";97;0,004304999113082885;0,001969999074935913
"getBestSegments";97;0,004744952917098999;0,0015000522136688233
"or";98;0,0009599864482879638;0,0019650042057037355
"and";98;0,00024000406265258789;0,0007899999618530273
"getBestSegments";98;0,0038599491119384764;0,0014700233936309815
"or";99;0,0002499997615814209;0,0008099913597106933
"and";99;0,00025499463081359865;0,0007899999618530273
"getBestSegments";99;0,0039999961853027345;0,0014699876308441162
"or";100;0,00026997923851013184;0,0007650077342987061
"and";100;0,00026999711990356446;0,0007749974727630615
"getBestSegments";100;0,0039249777793884276;0,0014350414276123047
"or";101;0,0003249824047088623;0,0008500039577484131
"and";101;0,0002649843692779541;0,0008600056171417236
"getBestSegments";101;0,004345011711120605;0,0016349732875823974
"or";102;0,0002849996089935303;0,0008499979972839356
"and";102;0,0002749979496002197;0,0008149981498718262
"getBestSegments";102;0,004030001163482666;0,0014899849891662597
"or";103;0,00029001235961914065;0,0007900059223175049
"and";103;0,00025998353958129884;0,0007799983024597168
"getBestSegments";103;0,003965020179748535;0,001484990119934082
"or";104;0,00029001832008361815;0,0008450150489807129
"and";104;0,0002649784088134766;0,0007700026035308838
"getBestSegments";104;0,004255014657974243;0,0015699803829193116
"or";105;0,0009749770164489746;0,0008549928665161133
"and";105;0,00029001235961914065;0,0008050084114074707
"getBestSegments";105;0,004914981126785278;0,0015650033950805665
"or";106;0,0002949833869934082;0,0008900046348571777
"and";106;0,00026499629020690916;0,0008250057697296142
"getBestSegments";106;0,004375070333480835;0,0015849709510803224
"or";107;0,00039499998092651367;0,0017150163650512696
"and";107;0,0002799868583679199;0,0008750081062316895
"getBestSegments";107;0,007999986410140991;0,001740032434463501
"or";108;0,0002999961376190186;0,0008500039577484131
"and";108;0,0002799808979034424;0,0008600175380706788
"getBestSegments";108;0,005230069160461426;0,0023099243640899657
"or";109;0,0002950131893157959;0,0008599996566772461
"and";109;0,00028501152992248534;0,0008550047874450684
"getBestSegments";109;0,005029988288879394;0,001480025053024292
"or";110;0,00031501054763793945;0,000869983434677124
"and";110;0,0002650082111358643;0,0008199810981750488
"getBestSegments";110;0,004665064811706543;0,0017099201679229737
"or";111;0,00030499100685119627;0,0008899986743927002
"and";111;0,0002849996089935303;0,0014800071716308595
"getBestSegments";111;0,006290042400360107;0,003064972162246704
"or";112;0,00029998421669006345;0,001545006036758423
"and";112;0,0002750039100646973;0,0016449987888336182
"getBestSegments";112;0,005610018968582153;0,0017899751663208007
"or";113;0,0003149986267089844;0,0008599877357482911
"and";113;0,0002950131893157959;0,0008750081062316895
"getBestSegments";113;0,006479978561401367;0,0017899870872497559
"or";114;0,0003550112247467041;0,0009599804878234863
"and";114;0,0002900004386901855;0,0009249866008758545
"getBestSegments";114;0,005354976654052735;0,0017550408840179444
"or";115;0,0003099799156188965;0,0009350001811981202
"and";115;0,00029001235961914065;0,0008550047874450684
"getBestSegments";115;0,0048850059509277345;0,0017700016498565674
"or";116;0,0003200113773345947;0,0009099900722503662
"and";116;0,0002900004386901855;0,0008849978446960449
"getBestSegments";116;0,006819981336593628;0,0026750266551971436
"or";117;0,00029502511024475097;0,0009349584579467773
"and";117;0,00030502080917358396;0,0008899807929992676
"getBestSegments";117;0,004879951477050781;0,0017900407314300538
"or";118;0,00030001401901245115;0,0009199917316436767
"and";118;0,0002950131893157959;0,0008799970149993896
"getBestSegments";118;0,005339956283569336;0,0020050048828125
"or";119;0,00036499500274658205;0,0009800136089324952
"and";119;0,0003249824047088623;0,0022650063037872314
"getBestSegments";119;0,00558503270149231;0,008044999837875367
"or";120;0,0003150045871734619;0,000914996862411499
"and";120;0,00028502941131591797;0,0009049773216247559
"getBestSegments";120;0,005060005187988281;0,0018049955368041992
"or";121;0,00033001303672790526;0,0009499967098236084
"and";121;0,00030001401901245115;0,0010000109672546388
"getBestSegments";121;0,005040007829666138;0,0017949521541595459
"or";122;0,0003100156784057617;0,0009499907493591309
"and";122;0,00029500126838684083;0,0009049952030181884
"getBestSegments";122;0,0049250245094299315;0,0018099963665008545
"or";123;0,00032501220703125;0,0009650170803070068
"and";123;0,00029500126838684083;0,0009199976921081543
"getBestSegments";123;0,012060040235519409;0,001799982786178589
"or";124;0,0003149867057800293;0,0009750127792358398
"and";124;0,0003050029277801514;0,0009400129318237304
"getBestSegments";124;0,004819995164871216;0,001705026626586914
